test_no,computation_time_ms,memory_kb,key_size_bytes,public_data_bytes,energy_estimate_mj,success
1,0.23830001009628177,144.0,256,16640,0.23830001009628177,True
2,0.07049998384900391,12.0,256,16640,0.07049998384900391,True
3,0.06469999789260328,12.0,256,16640,0.06469999789260328,True
4,0.05690002581104636,0.5,256,16640,0.05690002581104636,True
5,0.056200020480901,0.5,256,16640,0.056200020480901,True
6,0.05599998985417187,0.5,256,16640,0.05599998985417187,True
7,0.05469997995533049,0.5,256,16640,0.05469997995533049,True
8,0.05740000051446259,12.0,256,16640,0.05740000051446259,True
9,0.05529998452402651,0.5,256,16640,0.05529998452402651,True
10,0.054100004490464926,0.5,256,16640,0.054100004490464926,True
11,0.0543000060133636,0.5,256,16640,0.0543000060133636,True
12,0.05390000296756625,0.5,256,16640,0.05390000296756625,True
13,0.05390000296756625,0.5,256,16640,0.05390000296756625,True
14,0.0543000060133636,0.5,256,16640,0.0543000060133636,True
15,0.05520001286640763,4.0,256,16640,0.05520001286640763,True
16,0.053800002206116915,0.5,256,16640,0.053800002206116915,True
17,0.054500007536262274,0.5,256,16640,0.054500007536262274,True
18,0.05360000068321824,0.5,256,16640,0.05360000068321824,True
19,0.1196000084746629,0.5,256,16640,0.1196000084746629,True
20,0.05639999289996922,0.5,256,16640,0.05639999289996922,True
21,0.25850001838989556,0.5,256,16640,0.25850001838989556,True
22,0.06180000491440296,0.5,256,16640,0.06180000491440296,True
23,0.056100019719451666,0.5,256,16640,0.056100019719451666,True
24,0.05400000372901559,0.5,256,16640,0.05400000372901559,True
25,0.05540001438930631,0.5,256,16640,0.05540001438930631,True
26,0.05470000905916095,0.5,256,16640,0.05470000905916095,True
27,0.055500015150755644,0.5,256,16640,0.055500015150755644,True
28,0.0543000060133636,0.5,256,16640,0.0543000060133636,True
29,0.05540001438930631,0.5,256,16640,0.05540001438930631,True
30,0.05520001286640763,0.5,256,16640,0.05520001286640763,True
31,0.05319999763742089,0.5,256,16640,0.05319999763742089,True
32,0.06639998173341155,0.5,256,16640,0.06639998173341155,True
33,0.059999991208314896,0.5,256,16640,0.059999991208314896,True
34,0.06359998951666057,0.5,256,16640,0.06359998951666057,True
35,0.11340001947246492,4.0,256,16640,0.11340001947246492,True
36,0.06019999273121357,0.5,256,16640,0.06019999273121357,True
37,0.05819997750222683,0.5,256,16640,0.05819997750222683,True
38,0.06489999941550195,0.5,256,16640,0.06489999941550195,True
